Study/Year/Country,Title,Study Design,"double-blind or more? (yes, no)",target diagnosis for  meta analysis,Population,baseline vitamin deficiency prop,Baseline Vitamin/Mineral Level,baseline vitamin/mineral sd,Final Vitamin/Mineral Level,Final Vitamin/Mineral SD,Summary of Study Selection Criteria,psych dx,low vitamin,pop dx,Total Sample Size (N),Intervention,Dose,Frequency,total average daily dose,Number of treatment arms (N),Number in each Treatment Arm (N),Duration (weeks),Scale Name,baseline N,Baseline outcome measure (if recorded),Standard Deviation of baseline outcome (if given),final N,Final Outcome Measures,Standard Deviation of outcome (if given),Standard Error of outcome (if given),Mean Age (Years),Sex (% Male),Key Findings,Adverse Events,Sequence generation risk of bias,allocation concealment risk of bias,blinding of participants risk of bias,blinding of outcome assessers,incomplete outcome risk of bias,selective outcome reporting risk of bias,other sources of bias,overall risk of bias,,flag,gain mean,gain sd,gain se,p,secondary flag,secondary gain mean,secondary gain sd,adverse rate,adverse count,censor direction,prob,total
Bagheri/2022/Iran,The effect of vitamin D supplementation on tobacco-related disorders in individuals with a tobacco use disorder: a randomized clinical trial,Randomized Controlled Trial,yes,anxiety,Adults aged 17–60 with tobacco use,,25(OH)D: 23.3 ng/mL,25(OH)D: 10.5 ng/mL,25(OH)D: 25.6 ng/mL,25(OH)D: 11.8 ng/mL,"Included tobacco use disorder; excluded metabolic, neurological, psychiatric disorders",none,,tobacco use disorder,60,vitamin D,50000 IU,Every 2 weeks,3571.4285714286 IU,2,30,24,BAI,24,19.6,10.2,24,18.1,9.7,,35.4,,Reduction in anxiety symptoms,None reported,low,low,low,low,high,low,low,some concerns,,OLS,-1.24,5.212888885,0.691726779,3,,,,0,0,,,
Bagheri/2022/Iran,The effect of vitamin D supplementation on tobacco-related disorders in individuals with a tobacco use disorder: a randomized clinical trial,Randomized Controlled Trial,yes,anxiety,Adults aged 17–60 with tobacco use,,25(OH)D: 24.5 ng/mL,25(OH)D: 11.3 ng/mL,25(OH)D: 23.7 ng/mL,25(OH)D: 10.1 ng/mL,"Included tobacco use disorder; excluded metabolic, neurological, psychiatric disorders",none,,tobacco use disorder,60,placebo,,Every 2 weeks,,2,30,24,BAI,22,22,9.3,22,21.5,8.5,,34.9,,Minimal improvement in anxiety,None reported,low,low,low,low,high,low,low,some concerns,,,0,5.212888885,0.691726779,3,,,,0,0,,,
Zheng/2019/Australia-China,Effect of Vitamin D Supplementation on Depressive Symptoms in Patients With Knee Osteoarthritis,Randomized Controlled Trial,yes,depression,Adults aged 50–79 with knee osteoarthritis and vitamin D deficiency,,25(OH)D: 43.7 nmol/L,25(OH)D: 11.8 nmol/L,25(OH)D: 84.5 nmol/L,25(OH)D: 17.3 nmol/L,"Included Vit D 12.5–60 nmol/L, symptomatic OA (ACR), PHQ-9 <5",none,vitamin D,osteoarthritis,413,vitamin D,50000 IU ,Monthly,1642.7104722793 IU,2,209,104,PHQ-9,209,3.4,4.1,209,2.9,3.4,,63.5,47.3,"Minimal worsening in PHQ-9, no baseline depression","Adverse events: hyperparathyroidism (1), renal stone (1), hospitalizations (3)",low,low,low,low,low,low,low,low,,LMM,-0.66,5.16926458,0.282332568,".2,4",gain scores,-0.45,2.823263966,0.023923445,5,,,
Zheng/2019/Australia-China,Effect of Vitamin D Supplementation on Depressive Symptoms in Patients With Knee Osteoarthritis,Randomized Controlled Trial,yes,depression,Adults aged 50–79 with knee osteoarthritis and vitamin D deficiency,,25(OH)D: 43.8 nmol/L,25(OH)D: 12.7 nmol/L,25(OH)D: 50.6 nmol/L,25(OH)D: 17.5 nmol/L,"Included Vit D 12.5–60 nmol/L, symptomatic OA (ACR), PHQ-9 <5",none,vitamin D,osteoarthritis,413,placebo,,Monthly,,2,204,102,PHQ-9,204,3,4,204,3.2,3.8,,62.9,50,"Minimal worsening in PHQ-9, no baseline depression","Adverse events: renal stone (1), hypercalcemia (2)",low,low,low,low,low,low,low,low,,,0,5.16926458,0.282332568,".2,4",gain scores,0.21,2.897544316,0.014705882,3,,,
Choukri/2018/New Zealand,Effect of vitamin D supplementation on depressive symptoms and psychological wellbeing in healthy adult women: a double-blind randomised controlled clinical trial,Randomized Controlled Trial,yes,depression,"Healthy women aged 18–40, not pregnant or breastfeeding",,25(OH)D: 77.7 nmol/L,25(OH)D: 26.1 nmol/L,25(OH)D: 84.5 nmol/L,25(OH)D: 22.7 nmol/L,"Included women aged 18–40, no Vit D supplementation, excluded medical conditions",none,,,152,vitamin D,50000 IU ,Monthly,1642.7104722793 IU,2,76,26,CES-D,76,13.1,7.9,76,Mesdaghinia/2023/Iran,10.1,,24.4,0,No significant effect on depressive symptoms (p = 0.339),Not reported,some concerns,low,low,low,low,low,some concerns,low,,OLS,-1.41,8.347055369,1.474597222,8,,,,,,,,
Choukri/2018/New Zealand,Effect of vitamin D supplementation on depressive symptoms and psychological wellbeing in healthy adult women: a double-blind randomised controlled clinical trial,Randomized Controlled Trial,yes,depression,"Healthy women aged 18–40, not pregnant or breastfeeding",,25(OH)D: 74.0 nmol/L,25(OH)D: 26.1 nmol/L,25(OH)D: 49.2 nmol/L,25(OH)D: 28.1 nmol/L,"Included women aged 18–40, no Vit D supplementation, excluded medical conditions",none,,,152,placebo,,Monthly,,2,76,26,CES-D,74,12.7,8.9,74,13.9,9.9,,23.9,0,No significant difference in CES-D vs intervention,Not reported,some concerns,low,low,low,low,low,some concerns,low,,,0,8.347055369,1.474597222,8,,,,,,,,
Choukri/2018/New Zealand,Effect of vitamin D supplementation on depressive symptoms and psychological wellbeing in healthy adult women: a double-blind randomised controlled clinical trial,Randomized Controlled Trial,yes,anxiety,"Healthy women aged 18–40, not pregnant or breastfeeding",,25(OH)D: 77.7 nmol/L,25(OH)D: 26.1 nmol/L,25(OH)D: 84.5 nmol/L,25(OH)D: 22.7 nmol/L,"Included women aged 18–40, no Vit D supplementation, excluded medical conditions",none,,,152,vitamin D,50000 IU ,Monthly,1642.7104722793 IU,2,76,26,HADS-A,76,13,3,76,13.4,3,,24.4,0,No effect on anxiety (p = 0.862),Not reported,some concerns,low,low,low,low,low,some concerns,low,,OLS,0.16,3.720301285,0.397104226,8,,,,,,,,
Choukri/2018/New Zealand,Effect of vitamin D supplementation on depressive symptoms and psychological wellbeing in healthy adult women: a double-blind randomised controlled clinical trial,Randomized Controlled Trial,yes,anxiety,"Healthy women aged 18–40, not pregnant or breastfeeding",,25(OH)D: 74.0 nmol/L,25(OH)D: 26.1 nmol/L,25(OH)D: 49.2 nmol/L,25(OH)D: 28.1 nmol/L,"Included women aged 18–40, no Vit D supplementation, excluded medical conditions",none,,,152,placebo,,Monthly,,2,76,26,HADS-A,74,13.2,2.9,74,13.2,2.9,,23.9,0,No change in anxiety scores over time,Not reported,some concerns,low,low,low,low,low,some concerns,low,,,0,3.720301285,0.397104226,8,,,,,,,,
Rahman/2023/Australia,Effect of vitamin D supplementation on depression in older Australian adults,Randomized Controlled Trial,yes,depression,"Community-dwelling older adults, no psychiatric diagnosis",,,,25(OH)D: 115 nmol/L,25(OH)D: 30 nmol/L,"Excluded hypercalcemia, kidney stones, sarcoidosis, >500 IU Vit D daily",none,,elderly,21315,vitamin D,60000 IU,Monthly,1967.2131147541 IU,2,10662,260,PHQ-9,10662,,,9226,2.7,3.73,,69,54,No benefit on depression in large RCT,"Adverse events: hypercalcemia 0.7%, kidney stones 1.5%",low,low,low,low,low,low,low,low,,LMM,0.06,3.702458682,0.056119771,".2,3",,,,0.0154,142,,,
Rahman/2023/Australia,Effect of vitamin D supplementation on depression in older Australian adults,Randomized Controlled Trial,yes,depression,"Community-dwelling older adults, no psychiatric diagnosis",,,,25(OH)D: 77 nmol/L,25(OH)D: 25 nmol/L,"Excluded hypercalcemia, kidney stones, sarcoidosis, >500 IU Vit D daily",none,,elderly,21315,placebo,,Monthly,,2,10653,260,PHQ-9,10653,,,9096,2.63,3.68,,69,54,No benefit on depression in large RCT,"Adverse events: hypercalcemia 0.7%, kidney stones 1.5%",low,low,low,low,low,low,low,low,,,0,3.702458682,0.056119771,".2,3",,,,0.0162,147,,,
Alavi/2019/Iran,Effect of vitamin D supplementation on depression in elderly patients: A randomized clinical trial,Randomized Controlled Trial,yes,depression,"Adults aged ≥60 receiving depression treatment, Farsi-speaking, GDS >5",,25(OH)D: 22.57 ng/mL,25(OH)D: 6.2 ng/mL,25(OH)D: 43.48 ng/mL,25(OH)D: 9.5 ng/mL,"Included older adults ≥60, moderate/severe depression, Vit D deficient; excluded other mental illness/disability",depression,vitamin D,elderly,78,vitamin D,50000 IU,Weekly,7142.8571428571 IU,2,39,8,GDS-15,39,9.25,2.4,39,7.48,1.66,,68.7,51.3,Significant improvement in depression scores (p = 0.0001),None reported,low,low,low,low,low,some concerns,low,low,,OLS,0.696,2.642308194,0.047,8,gain scores,-1.76,1.28,0,,,,
Alavi/2019/Iran,Effect of vitamin D supplementation on depression in elderly patients: A randomized clinical trial,Randomized Controlled Trial,yes,depression,"Adults aged ≥60 receiving depression treatment, Farsi-speaking, GDS >5",,25(OH)D: 21.2 ng/mL,25(OH)D: 5.8 ng/mL,25(OH)D: 25.9 ng/mL,25(OH)D: 15.3 ng/mL,"Included older adults ≥60, moderate/severe depression, Vit D deficient; excluded other mental illness/disability",depression,vitamin D,elderly,78,placebo,,Weekly,,2,39,8,GDS-15,39,8.9,2.3,39,9,2.1,,67,48.7,No significant change vs intervention,None reported,low,low,low,low,low,some concerns,low,low,,,0,2.642308194,0.047,8,gain scores,0.027,0.95,0,,,,
Fazelian/2019/Iran,Effect of Vitamin D Supplement on Mood Status and Inflammation in Vitamin D Deficient Type 2 Diabetic Women with Anxiety: A Randomized Clinical Trial,Randomized Controlled Trial,yes,depression,Women with type 2 diabetes mellitus and anxiety,,25(OH)D: 21.32 ng/mL,25(OH)D: 5.85 ng/mL,25(OH)D: 29.11 ng/mL,25(OH)D: 11.70 ng/mL,"Included T2DM with anxiety (DASS-21), Vit D 10–30 ng/mL",anxiety,vitamin D,T2DM,64,vitamin D,50000 IU,Every 2 weeks,3571.4285714286 IU,2,33,16,"DASS-21, depression",26,11.88,4.84,26,9.88,3.88,,48.5,0,"Within-group depression improved, no between-group difference",Not reported,low,low,low,low,low,low,low,low,,gain scores,-2,4.38,,,,,,,,,,
Fazelian/2019/Iran,Effect of Vitamin D Supplement on Mood Status and Inflammation in Vitamin D Deficient Type 2 Diabetic Women with Anxiety: A Randomized Clinical Trial,Randomized Controlled Trial,yes,depression,Women with type 2 diabetes mellitus and anxiety,,25(OH)D: 20.73 ng/mL,25(OH)D: 6.47 ng/mL,25(OH)D: 22.4 ng/mL,25(OH)D: 11.36 ng/mL,"Included T2DM with anxiety (DASS-21), Vit D 10–30 ng/mL",anxiety,vitamin D,T2DM,64,placebo,,Every 2 weeks,,2,31,16,"DASS-21, depression",25,10.44,5.09,25,11.08,5.28,,46.3,0,No significant difference vs vitamin D,Not reported,low,low,low,low,low,low,low,low,,gain scores,-1.36,4.07,,,,,,,,,,
Fazelian/2019/Iran,Effect of Vitamin D Supplement on Mood Status and Inflammation in Vitamin D Deficient Type 2 Diabetic Women with Anxiety: A Randomized Clinical Trial,Randomized Controlled Trial,yes,anxiety,Women with type 2 diabetes mellitus and anxiety,,25(OH)D: 21.32 ng/mL,25(OH)D: 5.85 ng/mL,25(OH)D: 29.11 ng/mL,25(OH)D: 11.70 ng/mL,"Included T2DM with anxiety (DASS-21), Vit D 10–30 ng/mL",anxiety,vitamin D,T2DM,64,vitamin D,50000 IU,Every 2 weeks,3571.4285714286 IU,2,33,16,"DASS-21, anxiety",26,12.31,4.26,26,9.15,4.54,,48.5,0,Significant reduction in anxiety vs placebo,Not reported,low,low,low,low,low,low,low,low,,gain scores,-3.15,4.65,,,,,,,,,,
Fazelian/2019/Iran,Effect of Vitamin D Supplement on Mood Status and Inflammation in Vitamin D Deficient Type 2 Diabetic Women with Anxiety: A Randomized Clinical Trial,Randomized Controlled Trial,yes,anxiety,Women with type 2 diabetes mellitus and anxiety,,25(OH)D: 20.73 ng/mL,25(OH)D: 6.47 ng/mL,25(OH)D: 22.4 ng/mL,25(OH)D: 11.36 ng/mL,"Included T2DM with anxiety (DASS-21), Vit D 10–30 ng/mL",anxiety,vitamin D,T2DM,64,placebo,,Every 2 weeks,,2,31,16,"DASS-21, anxiety",25,10.44,5.05,25,13.28,4.61,,46.3,0,Anxiety worsened in placebo,Not reported,low,low,low,low,low,low,low,low,,gain scores,1.64,4.75,,,,,,,,,,
Kjaergaard/2012/Norway,Effect of vitamin D supplement on depression scores in people with low levels of serum 25-hydroxyvitamin D: nested case-control study and randomised clinical trial,Randomized Controlled Trial,yes,depression,Adults aged 30–75 with low vitamin D (<55 nmol/L),,25(OH)D: 47.4 nmol/L,25(OH)D: 15.8 nmol/L,25(OH)D: 147.7 nmol/L,25(OH)D: 29.2 nmol/L,"Included Vit D <55 nmol/L; excluded supplement use, psych meds, severe depression",none,vitamin D,,243,vitamin D,40000 IU,Weekly,5714.2857142857 IU,2,122,24,BDI-II,120,9.75,12.098011,120,10.25,13.6590444,,53.4,45,No significant change in BDI vs placebo,Not significantly different vs placebo,low,low,low,low,low,low,low,low,,gain scores,-0.84,5.66,,,,,,,,>=,67,
Kjaergaard/2012/Norway,Effect of vitamin D supplement on depression scores in people with low levels of serum 25-hydroxyvitamin D: nested case-control study and randomised clinical trial,Randomized Controlled Trial,yes,depression,Adults aged 30–75 with low vitamin D (<55 nmol/L),,25(OH)D: 47.7 nmol/L,25(OH)D: 15.5 nmol/L,25(OH)D: 52.5 nmol/L,25(OH)D: 16.1 nmol/L,"Included Vit D <55 nmol/L; excluded supplement use, psych meds, severe depression",none,vitamin D,,243,placebo,,Weekly,,2,121,24,BDI-II,110,14.25,19.351456,110,9.75,13.8224688,,53.3,43,No significant change in BDI vs vitamin D,Not significantly different vs vitamin D,low,low,low,low,low,low,low,low,,gain scores,-0.9,4.9,,,,,,,,>=,61,
Kjaergaard/2012/Norway,Effect of vitamin D supplement on depression scores in people with low levels of serum 25-hydroxyvitamin D: nested case-control study and randomised clinical trial,Randomized Controlled Trial,yes,anxiety,Adults aged 30–75 with low vitamin D (<55 nmol/L),,25(OH)D: 47.4 nmol/L,25(OH)D: 15.8 nmol/L,25(OH)D: 147.7 nmol/L,25(OH)D: 29.2 nmol/L,"Included Vit D <55 nmol/L; excluded supplement use, psych meds, severe depression",none,vitamin D,,243,vitamin D,40000 IU,Weekly,5714.2857142857 IU,2,122,24,HADS-A,120,5.5,6.2441346,120,4.5,4.68310095,,53.4,45,No significant change in anxiety vs placebo,Not significantly different vs placebo,low,low,low,low,low,low,low,low,,gain scores,-0.25,2.41,,,,,,,,>=,67,
Kjaergaard/2012/Norway,Effect of vitamin D supplement on depression scores in people with low levels of serum 25-hydroxyvitamin D: nested case-control study and randomised clinical trial,Randomized Controlled Trial,yes,anxiety,Adults aged 30–75 with low vitamin D (<55 nmol/L),,25(OH)D: 47.7 nmol/L,25(OH)D: 15.5 nmol/L,25(OH)D: 52.5 nmol/L,25(OH)D: 16.1 nmol/L,"Included Vit D <55 nmol/L; excluded supplement use, psych meds, severe depression",none,vitamin D,,243,placebo,,Weekly,,2,121,24,HADS-A,110,5.25,5.9239152,110,4.75,5.9239152,,53.3,42.73,No significant change in anxiety vs vit D,Not significantly different vs vit D,low,low,low,low,low,low,low,low,,gain scores,0.07,2.47,,,,,,,,>=,61,
Kjaergaard/2012/Norway,Effect of vitamin D supplement on depression scores in people with low levels of serum 25-hydroxyvitamin D: nested case-control study and randomised clinical trial,Randomized Controlled Trial,yes,depression,Adults aged 30–75 with low vitamin D (<55 nmol/L),,25(OH)D: 47.4 nmol/L,25(OH)D: 15.8 nmol/L,25(OH)D: 147.7 nmol/L,25(OH)D: 29.2 nmol/L,"Included Vit D <55 nmol/L; excluded supplement use, psych meds, severe depression",none,vitamin D,,243,vitamin D,40000 IU,Weekly,5714.2857142857 IU,2,122,24,HADS-D,120,3,3.9025841,120,2.5,3.1220673,,53.4,45,No significant effect on depressive symptoms (HADS),Not significantly different vs placebo,low,low,low,low,low,low,low,low,,gain scores,-0.33,2.05,,,,,,,,>=,67,
Kjaergaard/2012/Norway,Effect of vitamin D supplement on depression scores in people with low levels of serum 25-hydroxyvitamin D: nested case-control study and randomised clinical trial,Randomized Controlled Trial,yes,depression,Adults aged 30–75 with low vitamin D (<55 nmol/L),,25(OH)D: 47.7 nmol/L,25(OH)D: 15.5 nmol/L,25(OH)D: 52.5 nmol/L,25(OH)D: 16.1 nmol/L,"Included Vit D <55 nmol/L; excluded supplement use, psych meds, severe depression",none,vitamin D,,243,placebo,,Weekly,,2,121,24,HADS-D,110,3.5,4.7391322,110,5.25,7.50362591,,53.3,42.73,No significant change in depressive symptoms (HADS),Not significantly different vs vit D,low,low,low,low,low,low,low,low,,gain scores,-0.09,1.82,,,,,,,,>=,61,
Kjaergaard/2012/Norway,Effect of vitamin D supplement on depression scores in people with low levels of serum 25-hydroxyvitamin D: nested case-control study and randomised clinical trial,Randomized Controlled Trial,yes,depression,Adults aged 30–75 with low vitamin D (<55 nmol/L),,25(OH)D: 47.4 nmol/L,25(OH)D: 15.8 nmol/L,25(OH)D: 147.7 nmol/L,25(OH)D: 29.2 nmol/L,"Included Vit D <55 nmol/L; excluded supplement use, psych meds, severe depression",none,vitamin D,,243,vitamin D,40000 IU,Weekly,5714.2857142857 IU,2,122,24,MADRS,120,7.5,10.146719,120,4.75,5.85387619,,53.4,45,No significant change in MADRS vs placebo,Not significantly different vs placebo,low,low,low,low,low,low,low,low,,gain scores,-1.35,5.22,,,,,,,,>=,67,
Kjaergaard/2012/Norway,Effect of vitamin D supplement on depression scores in people with low levels of serum 25-hydroxyvitamin D: nested case-control study and randomised clinical trial,Randomized Controlled Trial,yes,depression,Adults aged 30–75 with low vitamin D (<55 nmol/L),,25(OH)D: 47.7 nmol/L,25(OH)D: 15.5 nmol/L,25(OH)D: 52.5 nmol/L,25(OH)D: 16.1 nmol/L,"Included Vit D <55 nmol/L; excluded supplement use, psych meds, severe depression",none,vitamin D,,243,placebo,,Weekly,,2,121,24,MADRS,110,7.25,9.873192,110,7.5,11.057975,,53.3,42.73,No significant change in MADRS vs vit D,Not significantly different vs vit D,low,low,low,low,low,low,low,low,,gain scores,-1.57,4.66,,,,,,,,>=,61,
Dabbaghmanesh/2019/Iran,"The Effect of Vitamin D Consumption During Pregnancy on Maternal Thyroid Function and Depression: A Randomized, Placebo-Controlled, Clinical Trial",Randomized Controlled Trial,yes,depression,"Pregnant women aged ≥18, no medical/psychiatric history, gestational weeks 26–28",,25(OH)D: 11.94 ng/mL,25(OH)D: 5.47 ng/mL,25(OH)D: 18.43 ng/mL,25(OH)D: 10.22 ng/mL,"Included EPDS ≤13, no Vit D supplementation >8 weeks, no gestational complications",none,vitamin D,,98,vitamin D,2000 IU,daily,2000 IU,2,46,10,EPDS,46,8.52,3.61,46,4.48,3.3,,26.04,0,Significant reduction in postnatal depression scores compared to placebo,none reported,high,high,high,high,high,some concerns,low,high,,,,,,,,,,,,,,
Dabbaghmanesh/2019/Iran,"The Effect of Vitamin D Consumption During Pregnancy on Maternal Thyroid Function and Depression: A Randomized, Placebo-Controlled, Clinical Trial",Randomized Controlled Trial,yes,depression,"Pregnant women aged ≥18, no medical/psychiatric history, gestational weeks 26–28",,25(OH)D: 13.34 ng/mL,25(OH)D: 8.82 ng/mL,25(OH)D: 13.11 ng/mL,25(OH)D: 6.26 ng/mL,"Included EPDS ≤13, no Vit D supplementation >8 weeks, no gestational complications",none,vitamin D,,98,placebo,,daily,,2,52,10,EPDS,52,8,3.69,52,7.07,4.52,,26.61,0,Smaller improvement in depression symptoms vs. vitamin D group,none reported,high,high,high,high,high,some concerns,low,high,,,,,,,,,,,,,,
Amini/2022/Iran,"The effect of vitamin D and calcium supplementation on inflammatory biomarkers, estradiol levels and severity of symptoms in women with postpartum depression: a randomized double-blind clinical trial",Randomized Controlled Trial,yes,depression,Women aged 18–45 with postpartum depression (EPDS >12) and vitamin D deficiency,,25(OH)D: 37.317 nmol/L,25(OH)D: 14.15721449 nmol/L,25(OH)D: 51.387 nmol/L,25(OH)D: 18.28280719 nmol/L,"Included EPDS >12, PPD 1–6 months, BMI <35; excluded recent Vit D/calcium, mental/endocrine disorders",depression,vitamin D,post-partum depression,81,"vitamin D, calcium",50000 IU Vit D + 500 mg calcium,"q14 days, daily","3571.4285714286 IU, 500 mg",3,27,8,EPDS,26,17.41,4.1,26,15.7,5.15,,26.88,0,"Modest improvement in depression, less than Vit D alone",none,low,low,low,low,low,some concerns,low,low,,gain scores,-1.7,3.44,,,,,,0,0,,,
Amini/2022/Iran,"The effect of vitamin D and calcium supplementation on inflammatory biomarkers, estradiol levels and severity of symptoms in women with postpartum depression: a randomized double-blind clinical trial",Randomized Controlled Trial,yes,depression,Women aged 18–45 with postpartum depression (EPDS >12) and vitamin D deficiency,,25(OH)D: 39.820 nmol/L,25(OH)D: 12.3532481 nmol/L,25(OH)D: 58.037 nmol/L,25(OH)D: 20.18873689 nmol/L,"Included EPDS >12, PPD 1–6 months, BMI <35; excluded recent Vit D/calcium, mental/endocrine disorders",depression,vitamin D,post-partum depression,81,vitamin D,50000 IU Vit D,q 14 days,3571.4285714286 IU,3,27,8,EPDS,26,17.5,3.97,26,13.33,6.38,,29.25,0,Greater improvement in depression vs. other groups,none,low,low,low,low,low,some concerns,low,low,,gain scores,-4.16,5.9,,,,,,0,0,,,
Amini/2022/Iran,"The effect of vitamin D and calcium supplementation on inflammatory biomarkers, estradiol levels and severity of symptoms in women with postpartum depression: a randomized double-blind clinical trial",Randomized Controlled Trial,yes,depression,Women aged 18–45 with postpartum depression (EPDS >12) and vitamin D deficiency,,25(OH)D: 36.730 nmol/L,25(OH)D: 13.12115786 nmol/L,25(OH)D: 42.903 nmol/L,25(OH)D: 14.39781106 nmol/L,"Included EPDS >12, PPD 1–6 months, BMI <35; excluded recent Vit D/calcium, mental/endocrine disorders",depression,vitamin D,post-partum depression,81,placebo,,daily,,3,27,8,EPDS,24,16.43,3.07,24,16.68,5.99,,28.92,0,No meaningful improvement in depression,none,low,low,low,low,low,some concerns,low,low,,gain scores,0.25,2.81,,,,,,0,0,,,
Ghavidel-Parsa/2022/Iran,"Effect of vitamin B6 on pain, disease severity, and psychological profile of fibromyalgia patients; a randomized, double-blinded clinical trial",Randomized Controlled Trial,yes,depression,Women aged ≥18 with fibromyalgia,,,,,,"Included FM per 2016 ACR criteria; excluded <18, pregnancy, breastfeeding, chronic pain or inflammatory comorbidities",none,,fibromyalgia,90,vitamin B6,80 mg,daily,80 mg,2,45,8,HADS-D,31,7.93,3.87,31,7.25,3.87,,44.1,0,Both groups improved in depression and anxiety scores; no statistically significant between-group difference in HADS-depression or other outcomes,none reported,low,low,low,low,high,low,low,high,from ANCOVA,hedge's g,-0.363,0.25174,,,gain scores,-0.67,2.79,,,,,
Ghavidel-Parsa/2022/Iran,"Effect of vitamin B6 on pain, disease severity, and psychological profile of fibromyalgia patients; a randomized, double-blinded clinical trial",Randomized Controlled Trial,yes,depression,Women aged ≥18 with fibromyalgia,,,,,,"Included FM per 2016 ACR criteria; excluded <18, pregnancy, breastfeeding, chronic pain or inflammatory comorbidities",none,,fibromyalgia,90,placebo,,daily,,2,45,8,HADS-D,29,6.53,3.17,29,7.07,3.17,,44.1,0,Both groups improved in depression and anxiety scores; no statistically significant between-group difference in HADS-depression or other outcomes,none reported,low,low,low,low,high,low,low,high,from ANCOVA,hedge's g,0,0.25174,,,gain scores,0.53,2.18,,,,,
Ghavidel-Parsa/2022/Iran,"Effect of vitamin B6 on pain, disease severity, and psychological profile of fibromyalgia patients; a randomized, double-blinded clinical trial",Randomized Controlled Trial,yes,anxiety,Women aged ≥18 with fibromyalgia,,,,,,"Included FM per 2016 ACR criteria; excluded <18, pregnancy, breastfeeding, chronic pain or inflammatory comorbidities",none,,fibromyalgia,90,vitamin B6,80 mg,daily,80 mg,2,45,8,HADS-A,31,10.96,3.97,31,9.25,3.97,,44.1,0,Both groups improved in depression and anxiety scores; no statistically significant between-group difference in HADS-anxiety or other outcomes,none reported,low,low,low,low,high,low,low,high,from ANCOVA,hedge's g,-0.0183,0.255,,,gain scores,-1.7,3.17,,,,,
Ghavidel-Parsa/2022/Iran,"Effect of vitamin B6 on pain, disease severity, and psychological profile of fibromyalgia patients; a randomized, double-blinded clinical trial",Randomized Controlled Trial,yes,anxiety,Women aged ≥18 with fibromyalgia,,,,,,"Included FM per 2016 ACR criteria; excluded <18, pregnancy, breastfeeding, chronic pain or inflammatory comorbidities",none,,fibromyalgia,90,placebo,,daily,,2,45,8,HADS-A,29,9,3.9,29,7.96,3.9,,44.1,0,Both groups improved in depression and anxiety scores; no statistically significant between-group difference in HADS-anxiety or other outcomes,none reported,low,low,low,low,high,low,low,high,from ANCOVA,hedge's g,0,0.255,,,gain scores,-1.03,2.9,,,,,
Balali/2024/Iran,"The effect of selenium supplementation on oxidative stress, clinical and physiological symptoms in patients with migraine: a double-blinded randomized clinical trial",Randomized Controlled Trial,yes,depression,"Patients aged 18–65 with migraine, ≥2 attacks per month",,,,,,"Included migraine per ICHD-3, ≥2 attacks/month; recruited from outpatient neurology clinic",none,,migraine,72,selenium,200 μg selenium methionine,daily,200 ug,2,36,12,"DASS-21, depression",36,13.89,10.13,36,12.23,9.7,,40.83,19.4,No significant effect on depression or migraine duration,Nausea (n=2),low,low,low,low,low,low,low,low,from ANCOVA,OLS,0.25,9.098640924,2.332996558,5,gain scores,-1.66,6.79,0.055555556,2,,,
Balali/2024/Iran,"The effect of selenium supplementation on oxidative stress, clinical and physiological symptoms in patients with migraine: a double-blinded randomized clinical trial",Randomized Controlled Trial,yes,depression,"Patients aged 18–65 with migraine, ≥2 attacks per month",,,,,,"Included migraine per ICHD-3, ≥2 attacks/month; recruited from outpatient neurology clinic",none,,migraine,72,placebo,200 μg starch,daily,,2,36,12,"DASS-21, depression",36,12.08,12.9,36,10.87,10.17,,40.97,19.4,No significant effect on depression or migraine duration,none,low,low,low,low,low,low,low,low,from ANCOVA,,0,9.098640924,2.332996558,5,gain scores,-1.22,10.81,0,0,,,
Balali/2024/Iran,"The effect of selenium supplementation on oxidative stress, clinical and physiological symptoms in patients with migraine: a double-blinded randomized clinical trial",Randomized Controlled Trial,yes,anxiety,"Patients aged 18–65 with migraine, ≥2 attacks per month",,,,,,"Included migraine per ICHD-3, ≥2 attacks/month; recruited from outpatient neurology clinic",none,,migraine,72,selenium,200 μg selenium methionine,daily,200 ug,2,36,12,"DASS-21, anxiety",36,11.39,7.68,36,10.34,7.13,,40.83,19.4,No significant effect on depression or migraine duration,Nausea (n=2),low,low,low,low,low,low,low,low,from ANCOVA,OLS,-0.46,6.826546223,1.348841693,5,gain scores,-1.05,4.92,0.055555556,2,,,
Balali/2024/Iran,"The effect of selenium supplementation on oxidative stress, clinical and physiological symptoms in patients with migraine: a double-blinded randomized clinical trial",Randomized Controlled Trial,yes,anxiety,"Patients aged 18–65 with migraine, ≥2 attacks per month",,,,,,"Included migraine per ICHD-3, ≥2 attacks/month; recruited from outpatient neurology clinic",none,,migraine,72,placebo,200 μg starch,daily,,2,36,12,"DASS-21, anxiety",36,9.06,8.29,36,9.27,8.86,,40.97,19.4,No significant effect on depression or migraine duration,none,low,low,low,low,low,low,low,low,from ANCOVA,,0,6.826546223,1.348841693,5,gain scores,0.21,5.63,0,0,,,
