"study","design","blinded","target","total.N","orig.dose","assigned.N","duration","scale","baseline.outcome.mean","final.outcome.mean","final.outcome.se","age","male","gain.scores","z.A","z.amitriptyline","z.B1","z.B12","z.B2","z.B3","z.B5","z.B6","z.B7","z.B9","z.C","z.calcium","z.citalopram","z.D","z.E","z.fluoxetine","z.imipramine","z.iron","z.magnesium","z.multinutrient","z.none","z.nortriptyline","z.placebo","z.SSRI","z.SSRI_TCA","z.zinc","intervention","quality"
"Walker/2010/Australia","Randomized Controlled Trial","yes","depression",909,"400 mcg, 100 mcg",447,52,"PHQ-9",5.37,4,0.201964069721852,65.92,0.405,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"z.B12,z.B9","low"
"Walker/2010/Australia","Randomized Controlled Trial","yes","depression",909,"",453,52,"PHQ-9",5.58,4.3,0.200622100908819,65.97,0.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","low"
"Penckofer/2022/USA","Randomized Controlled Trial","yes","depression",129,"",51,26,"CES-D",28.4,14.8,1.19,51.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","low"
"Bhudia/2006/USA","Randomized Controlled Trial","yes","depression",350,"780 mg (32 mmol) of MgSO4 in 100 mL of normal saline intravenously over 15 minutes during anesthesia induction, followed by 3160 mg (130 mmol) in 100 mL of normal saline over 24 hours. The CPB circuit was primed with MgSO4 to a concentration of 3.6 mg/dL. The plasma magnesium level was measured every 15 minutes during CPB. If it decreased to less than 3.6 mg/dL, MgSO4 was administered to achieve levels between 3.6 and 4.8 mg/dL",174,13,"Beck Depression Inventory",7.985,5.496,0.641850878535755,62,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"z.magnesium","some concerns"
"Bhudia/2006/USA","Randomized Controlled Trial","yes","depression",350,"normal saline IV in CPG circuit over 24hrs",176,13,"Beck Depression Inventory",8.399,6.431,0.712805045621898,63,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","some concerns"
"Wang/2023/AUS","Randomized Controlled Trial","yes","depression",173,"50000 iu",92,104,"PHQ-9",3.1,2.6,0.344048783194173,68.9,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","high"
"Wang/2023/AUS","Randomized Controlled Trial","yes","depression",173,"",81,104,"PHQ-9",2.8,3,0.322222222222222,66.7,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","high"
"Bagis/2013/Turkey","Randomized Controlled Trial","no","depression",80,"300 mg",20,8,"Beck Depression Scale",12.88,8,1.19182423200739,40.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"z.magnesium","high"
"Bagis/2013/Turkey","Randomized Controlled Trial","no","depression",80,"10 mg",20,8,"Beck Depression Scale",15.25,9.75,2.01469724772731,42.08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"z.amitriptyline","high"
"Bagis/2013/Turkey","Randomized Controlled Trial","no","depression",80,"300 mg, 10 mg",20,8,"Beck Depression Scale",16.88,12.11,2.1041399668273,40.72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"z.amitriptyline,z.magnesium","high"
"Bagis/2013/Turkey","Case Control","no","depression",80,"",20,8,"Beck Depression Scale",6.83,NA,NA,36.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"z.none","high"
"Bagis/2013/Turkey","Randomized Controlled Trial","no","anxiety",80,"300 mg",20,8,"Beck Anxiety Scale",21.58,18.76,2.42389768760977,40.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"z.magnesium","high"
